epoch,step,testBinaryAccuracy_epoch,testBinaryAccuracy_step,test_loss_epoch,test_loss_step,trainBinaryAccuracy_epoch,trainBinaryAccuracy_step,train_loss_epoch,train_loss_step
0,49,,,,,,1.0,,0.019999101758003235
0,99,,,,,,1.0,,0.013259069994091988
0,149,,,,,,1.0,,0.0033756031189113855
0,199,,,,,,1.0,,0.02242394909262657
0,249,,,,,,1.0,,0.003060712479054928
0,249,,,,,0.987500011920929,,0.04874905198812485,
1,299,,,,,,1.0,,0.001008643303066492
1,349,,,,,,1.0,,0.0009267313871532679
1,399,,,,,,1.0,,0.0007961087394505739
1,449,,,,,,1.0,,0.018034840002655983
1,499,,,,,,1.0,,0.00045668857637792826
1,499,,,,,1.0,,0.0011238254373893142,
2,549,,,,,,1.0,,9.182235226035118e-05
2,599,,,,,,1.0,,0.0001832822454161942
2,649,,,,,,1.0,,8.728276588954031e-05
2,699,,,,,,1.0,,0.00014070353063289076
2,749,,,,,,1.0,,2.51394412771333e-05
2,749,,,,,1.0,,0.00019324524328112602,
3,799,,,,,,1.0,,2.7508565835887566e-05
3,849,,,,,,1.0,,2.7974816475762054e-05
3,899,,,,,,1.0,,4.9665701226331294e-05
3,949,,,,,,1.0,,4.8272482672473416e-05
3,999,,,,,,1.0,,1.2199590855743736e-05
3,999,,,,,1.0,,4.1398470784770325e-05,
4,1049,,,,,,1.0,,2.0010895241284743e-05
4,1099,,,,,,1.0,,9.246761692338623e-06
4,1149,,,,,,1.0,,1.0987710993504152e-05
4,1199,,,,,,1.0,,2.488572135916911e-06
4,1249,,,,,,1.0,,2.216186658188235e-06
4,1249,,,,,1.0,,8.965109373093583e-06,
,0,,0.99609375,,0.006672863382846117,,,,
,1,,0.9921875,,0.06367329508066177,,,,
,2,,0.9921875,,0.05512483790516853,,,,
,3,,0.9921875,,0.02763937972486019,,,,
,4,,0.98828125,,0.04707301780581474,,,,
,5,,0.99609375,,0.018592994660139084,,,,
,6,,0.99609375,,0.009036741219460964,,,,
,7,,0.995192289352417,,0.0125656109303236,,,,
5,1250,0.9934999942779541,,0.030466903001070023,,,,,
